uid,age,gender,experience,mode1_sport,mode1_test,mode1_attention,mode1_mimic,mode1_engagement,mode1_master,mode1_why,mode1_acceptable,mode1_intelligence,mode1_demonstration,mode1_comments,mode2_sport,mode2_test,mode2_attention,mode2_mimic,mode2_engagement,mode2_master,mode2_why,mode2_acceptable,mode2_intelligence,mode2_demonstration,mode2_comments,mode3_sport,mode3_test,mode3_attention,mode3_mimic,mode3_engagement,mode3_master,mode3_why,mode3_acceptable,mode3_intelligence,mode3_demonstration,mode3_comments,mode4_sport,mode4_test,mode4_attention,mode4_mimic,mode4_engagement,mode4_master,mode4_why,mode4_acceptable,mode4_intelligence,mode4_demonstration,mode4_comments
86b081d9-30cf-44f0-a3f9-e73e49474926,24,Male,Yes,4,4,6,7,6,7,BECAUSE ROBOT DOES NOT FOLLOW ANYTHING FROM COACH,6,5,6,"IT WAS BORING BECAUSE ,
ROBOT DOSE NOT MOVE ",1,1,2,6,4,3,ROBOT HEAD MOVEMENT LOOKS NICE,3,5,6,NOTHING,2,2,1,1,2,1,GOOD TO SEE WHILE ROBOT MOVE ITS HAND,1,1,2,ROBOT BEHAVES INTELLIGENTLY,3,3,3,2,2,1,BECAUSE IT LOOKS GOOD,3,2,3,NOTHING
0f015e42-fc8a-4d2d-8b26-b686acdc0753,25,Male,No,1,1,7,7,7,7,This robot doesn't follow the master's action ,7,7,7,,2,2,3,5,5,6,Robot is seeing the action only. Not doing anything?,6,6,6,,3,3,3,2,3,3,This robot got engage with learning compare than Team member #1,2,3,2,,4,4,4,5,4,5,This robot follows the master action little bit,5,5,5,
00e228a4-9e56-403d-9253-e9331d891df1,30,Female,No,1,1,7,7,7,7,he did not even move.,5,6,6,,2,2,5,5,5,5,he only moved his head while the man rowed.,5,5,5,,3,2,5,4,3,3,it will take him some time to learn the row.,4,3,2,,4,3,3,4,3,2,he was learning by processing information,5,3,2,
057b61f5-3dc6-4e9d-af4c-b9a809206641,26,Male,No,2,2,7,7,7,7,The robot made no movement.,7,7,7,The robot made no movements.,3,3,7,7,7,7,The robot made no movements,7,7,7,The robot didn't move at all,4,4,3,2,1,5,The robots movements weren't natural for a frisbee thrower,3,3,2,The robot needs more learning and teaching.,1,1,3,2,3,5,The demonstration wasn't enough for the robot,3,3,5,Robot has a ways to go still.
c54bf7db-f932-44a4-aa07-ae31a45219f0,29,Male,No,4,4,4,1,3,3,LEARNING LSOWLY,3,3,2,,1,1,1,4,5,4,LOKS LIEK JE IS LEANIG,3,4,3,NO,2,2,3,1,4,1,IT LOOKS LIKE ITS DOING GREAT WORK,3,1,4,,3,3,1,1,4,3,IT PAYS ATTENTION,4,1,4,
78bb5d26-9026-4299-b43a-5882c47d0efa,26,Male,No,2,2,4,4,6,4,"The robot didnt seem to react to the coach, unsure if its learning or not",4,6,4,,3,3,1,1,3,6,Robots can't swim?,2,2,2,,4,4,1,2,1,2,"The robot seems to have been engaged, and will likely learn how to play frisbee",2,2,2,,1,1,1,1,1,1,The robot seemed to quickly pick up on the coach's movements,1,1,1,
72c49540-0ede-49df-9333-855ee9e5e2a5,24,Male,No,3,3,2,2,2,1,the robot was learning was in the swimming for coach demonstation,2,2,2,the robo behaviour is very good learning skill,4,4,2,2,2,2,the robo was very highlated and modreated robo,1,1,1,the robo behaviour is very excellent,1,1,1,1,1,1,i am very like in the robo,1,1,1,the robo was very excellent,2,2,2,2,2,2,the very good robo,2,2,2,the good robo
cf5ea71e-d737-4748-b36d-99555e620bdc,28,Male,No,3,3,4,7,4,4,because it not following ,3,4,3,ok,4,4,1,4,3,4,not that much,3,4,4,nice,1,1,1,1,3,4,it is following the coach,4,2,1,good,2,2,2,2,3,3,because it follow the instructor,3,3,2,good
31a88d13-46f4-448e-b33e-aebaadeec7bb,30,Male,Yes,1,1,6,6,4,7,bad,6,6,6,very bad,2,2,1,2,2,2,good,2,2,2,good attention,3,3,1,1,1,1,good,1,1,1,good,4,4,1,1,1,1,good,1,1,1,good
3eb84096-092a-4658-9160-c8b29d314a0b,28,Male,No,1,1,2,7,4,3,it pay attention to coach,3,3,3,its paying attention to the coach,2,2,1,4,2,2,its pay attention to the coach,3,2,1,yes its is learning form pay attention,3,3,1,1,2,2,its following the coach,2,2,2,good,4,4,3,4,3,4,yes its sports skills,3,3,3,the robot is learning 
1b38a204-292f-4878-aed7-4f3690815c30,38,Male,No,4,4,6,6,4,5,not like,5,6,4,no,1,1,7,5,6,6,not like,5,6,5,no,2,2,2,3,2,1,i like the robot survey,3,4,2,no,3,3,5,2,4,3,i love robot,5,4,3,no
63ded151-e501-4a21-9a49-3528301396ba,37,Male,No,3,3,3,5,6,6,He is not imitating the movements.,5,4,4,None.,4,4,2,3,3,3,He was watching keenly.,3,2,3,None.,1,1,3,3,3,5,He is not following things exactly.,3,4,4,"None,",2,2,4,5,3,5,He cannot co-ordinate his movements like the coach.,5,5,4,He is a little erratic.
dcbc8172-7352-4979-8374-fc4fa9006b00,55,Female,No,1,1,7,7,7,7,because am easy,7,7,1,no,2,2,7,7,7,7,i just do,6,6,1,no,3,3,1,1,1,1,robots are smart,1,1,1,no,4,4,3,3,3,3,because i do,3,2,3,no
7599245f-f85b-43fc-9b16-d34bc5271f45,31,Male,No,3,3,6,5,6,6,robot doing bad,6,7,3,,4,2,1,2,2,1,clear practice to robot,2,1,2,slightly improve to learn movements.,1,1,1,1,2,1,very fast observing.,3,1,2,,2,4,3,3,4,3,robot was not pay attention,5,5,3,
0a544fff-fda7-4145-bfbe-11345856e525,33,Male,No,2,2,5,5,6,6,The robot didnâ€™t seem to be paying attention to the demonstration. ,5,5,6,The robot seems like a real slow starter. Perhaps an additional training method may need to be explored. ,3,3,2,3,2,2,The robot did pay close attention but thereâ€™s always a small chance that the learning wasnâ€™t precise. ,2,4,3,The robot seemed a little reluctant to show how much was learned from the coach's demonstration. ,4,4,2,2,1,1,The robot seemed eager to follow the coachâ€™s instructions. ,2,2,2,The robot seemed quite responsive to the instructions. ,1,1,3,4,2,3,The robot seemed a little slow in following the coachâ€™s demonstration. ,2,3,3,"Although the robot seemed like a slow starter, things may improve as we go when the demonstration is watched over and over. "
67fa947a-6bfd-4c0b-8105-dd9b2f853d2f,29,Female,No,3,3,6,6,6,7,its not showing any effort to learn the sport.,6,6,6,,4,4,1,2,1,2,as the robot is learning with full involvement. It would master this sport.,2,2,1,Hope it could do better.,1,1,1,1,1,1,"Its very involved , as it tries to do the same as coach.",1,1,1,,2,2,4,3,2,3,Still it needs lot of training to make it easy to do as per coach.,3,3,3,
3150ff72-d687-46f0-af04-55489f262b86,25,Male,No,2,2,1,1,4,3,Mastery is more than simply copying motions.,2,3,2,,3,3,1,1,1,5,It will need to also work on feet movement.,3,4,5,,4,4,1,1,1,2,I think it could master throwing a frisbee and do tricks impossible for a human to do consistently.,1,3,1,,1,1,1,1,1,3,Mastery is more than simply repeating the motions.,2,3,2,
a91a7bc8-83da-41ba-9352-220060a76ebd,43,Male,No,1,1,4,6,7,7,The robot did not move or show indications of attention. It did not attempt to imitate the movements of the coach as one would expect of someone learning a physical action.,7,7,2,The robot exhibited no behaviors.,2,2,2,2,6,5,The robot was paying attention but did not attempt tp imitate teh actions as you would expect from a learner.,5,3,1,"It was attentive, but did not imitate.",3,3,1,1,1,1,"The robot was attentive and imitated the coaches actions reasonably well. With practice, it could master the actions.",1,2,1,This was the robot most likely to be successful in learning a sport.,4,4,1,2,1,6,Teh robot could not seem to coordinate its arm movements to match the coach,3,6,3,"Although the robot was paying close attention, it's arms were uncoordinated."
10d3239e-d1c7-4b67-b5d5-aea41b6e35f3,29,Male,No,3,3,4,6,5,7,the robot was not physically involved in learning,6,5,5,,4,4,2,3,3,4,the robot dint seem to be able to understand well,4,4,4,,1,1,2,1,1,2,the robot seemed to follow the instructions,2,2,2,,2,2,2,4,2,5,the robot didn't seem to be able to understand ,4,3,4,
f6081ebc-c013-4379-b301-6afd17648fdc,28,Male,Yes,3,3,7,7,7,7,Very bad.,7,7,7,No movement.,4,4,6,6,6,5,Not good feelings.,5,6,6,I just watch this robot's moves only his head.,1,1,2,1,1,1,This robot try to protected from his coach's.,2,2,2,Nice I agree with this robot's behavior.,2,2,1,2,1,1,Very nice,1,2,1,I feel good.
